CookerStat, GenerateAssetRegistry=0.038877, Initialize=0.201531, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__A04A56D0FED9DFF8E036793530EB021E6FA1F176, StartTime=2016.04.14-12.45.54, HierarchicalDDC=, DataSize=8455, Duration=8.135002, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__F938C8C3315CB7D129896CFCC78AD11134C096D8, StartTime=2016.04.14-12.45.54, HierarchicalDDC=, DataSize=4749, Duration=15.945621, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionIdA4FAA0E1485B542DFE65D0B8A9AD8756_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DDD560ED4CEB9791727CA4AEDFAF2F2F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.14-12.45.54, Duration=910.409241, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DDD560ED4CEB9791727CA4AEDFAF2F2F___C0F0E602DF71D5FF7F88CDDA8144110E3F1ABD18, StartTime=2016.04.14-12.45.55, HierarchicalDDC=, DataSize=4194565, Duration=23.086950, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DDD560ED4CEB9791727CA4AEDFAF2F2F___EA0164992C20AB9E2D5DC5A9C58B427489E1C2CF, StartTime=2016.04.14-12.45.55, HierarchicalDDC=, DataSize=1048837, Duration=13.988767, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DDD560ED4CEB9791727CA4AEDFAF2F2F___D56D4D27C3C78A989C1447BF1E84533FB3BA1A20, StartTime=2016.04.14-12.45.55, HierarchicalDDC=, DataSize=262403, Duration=10.099627, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DDD560ED4CEB9791727CA4AEDFAF2F2F___68AB6D77EBC41019099AAFD6174E9D2317C9D91D, StartTime=2016.04.14-12.45.55, HierarchicalDDC=, DataSize=65795, Duration=8.017126, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DDD560ED4CEB9791727CA4AEDFAF2F2F___BBE081A1746AA6162ACF774071E291F84B4FBD01, StartTime=2016.04.14-12.45.55, HierarchicalDDC=, DataSize=16643, Duration=6.747287, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DDD560ED4CEB9791727CA4AEDFAF2F2F___6500EDB5E8A16D9A0F39F503740D86FDC71ADCE7, StartTime=2016.04.14-12.45.55, HierarchicalDDC=, DataSize=7468, Duration=6.925807, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionIdA4FAA0E1485B542DFE65D0B8A9AD8756_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2FD4817B4FF070D2C47781B50296DC69_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.14-12.45.55, Duration=8812.911133, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
